#name	radius	orbital_period	semi_major_axis	tperi	impact_parameter	star_name	ra	dec	mag_v
Kepler-1119b	0.171	8.3265153	nan	nan	nan	Kepler-1119	297.019131	44.327522	nan
Kepler-112b	0.211	8.408878	0.076	nan	0.04	Kepler-112	296.981009	43.209751	nan
Kepler-112c	0.214	28.574263	0.172	nan	0.08	Kepler-112	296.981009	43.209751	nan
Kepler-1120b	0.123	2.94902905	nan	nan	nan	Kepler-1120	290.914483	42.286579	nan
Kepler-1121b	0.17	13.15141081	nan	nan	nan	Kepler-1121	297.786606	47.886127	nan
Kepler-1122b	0.182	42.1917357	nan	nan	nan	Kepler-1122	288.280535	46.340904	nan
Kepler-1123b	0.149	4.33946454	nan	nan	nan	Kepler-1123	294.517667	50.670399	nan
Kepler-1124b	0.114	2.85234897	nan	nan	nan	Kepler-1124	286.594273	37.891266	nan
Kepler-1125b	0.164	17.6700642	nan	nan	nan	Kepler-1125	295.481223	40.73198	nan
Kepler-1126b	0.154	108.593329	nan	nan	nan	Kepler-1126	285.691992	45.689396	nan
Kepler-1127b	0.175	5.12330347	nan	nan	nan	Kepler-1127	293.217384	42.720707	nan
Kepler-1128b	0.326	61.6178167	nan	nan	nan	Kepler-1128	293.063338	39.403444	nan
Kepler-1129b	0.264	24.3397804	nan	nan	nan	Kepler-1129	291.604495	41.309361	nan
Kepler-1129c	0.244	76.5369586	nan	nan	nan	Kepler-1129	291.604495	41.309361	nan
Kepler-113b	0.162	4.754	nan	nan	0.08	Kepler-113	287.997883	50.944332	13.461
Kepler-113c	0.194	8.92507	nan	nan	0.56	Kepler-113	287.997883	50.944332	13.461
Kepler-1130b	0.071	5.45298175	nan	nan	nan	Kepler-1130	285.207485	45.38435	nan
Kepler-1131b	0.142	3.53232449	nan	nan	nan	Kepler-1131	295.651494	49.261295	nan
Kepler-1132b	0.21	62.8916228	nan	nan	nan	Kepler-1132	286.367463	48.423935	nan
Kepler-1133b	0.176	11.55562343	nan	nan	nan	Kepler-1133	293.322404	42.86747	nan
Kepler-1134b	0.236	17.13263989	nan	nan	nan	Kepler-1134	295.567982	42.478287	nan
Kepler-1135b	0.165	76.957857	nan	nan	nan	Kepler-1135	286.002968	44.756592	nan
Kepler-1136b	0.146	2.36172433	nan	nan	nan	Kepler-1136	284.107796	44.245808	nan
Kepler-1137b	0.196	23.9210791	nan	nan	nan	Kepler-1137	287.130272	48.665375	nan
Kepler-1138b	0.152	3.17060005	nan	nan	nan	Kepler-1138	285.899242	48.307301	nan
Kepler-1139b	0.106	0.81316672	nan	nan	nan	Kepler-1139	287.945617	39.230568	nan
Kepler-114b	0.112	5.188549	0.053	nan	0.69	Kepler-114	294.121421	48.349525	13.7
Kepler-114c	0.143	8.041	0.07	nan	nan	Kepler-114	294.121421	48.349525	13.7
Kepler-114d	0.226	11.776	0.09	nan	nan	Kepler-114	294.121421	48.349525	13.7
Kepler-1140b	0.247	24.0862707	nan	nan	nan	Kepler-1140	281.693981	46.946449	nan
Kepler-1141b	0.073	2.34451194	nan	nan	nan	Kepler-1141	290.543645	47.72588	nan
Kepler-1142b	0.131	18.3027248	nan	nan	nan	Kepler-1142	292.714435	44.082336	nan
Kepler-1143b	0.149	2.88890485	nan	nan	nan	Kepler-1143	287.302821	39.289688	nan
Kepler-1143c	0.321	210.630591	nan	nan	nan	Kepler-1143	287.302821	39.289688	nan
Kepler-1144b	0.178	17.14647302	nan	nan	nan	Kepler-1144	290.043293	47.257977	nan
Kepler-1145b	0.125	3.97076766	nan	nan	nan	Kepler-1145	295.308161	43.044415	nan
Kepler-1146b	0.11	2.3522658	nan	nan	nan	Kepler-1146	286.716626	47.425633	nan
Kepler-1147b	0.233	10.62784997	nan	nan	nan	Kepler-1147	292.547537	41.642956	nan
Kepler-1148b	0.151	1.10446351	nan	nan	nan	Kepler-1148	290.953557	45.719536	nan
Kepler-1149b	0.128	3.73089898	nan	nan	nan	Kepler-1149	294.18926	45.151577	nan
Kepler-115b	0.097	2.403679	0.036	nan	0.43	Kepler-115	297.711849	45.261925	nan
Kepler-115c	0.232	8.990889	0.087	nan	0.11	Kepler-115	297.711849	45.261925	nan
Kepler-1150b	0.091	2.78786839	nan	nan	nan	Kepler-1150	296.724492	49.532715	nan
Kepler-1151b	0.198	65.6478424	nan	nan	nan	Kepler-1151	292.247793	47.878452	nan
Kepler-1152b	0.078	1.64680191	nan	nan	nan	Kepler-1152	290.434033	44.107651	nan
Kepler-1153b	0.154	1.75583533	nan	nan	nan	Kepler-1153	289.147217	45.866181	nan
Kepler-1154b	0.209	5.1856142	nan	nan	nan	Kepler-1154	297.477127	39.877247	nan
Kepler-1154c	0.211	8.45808312	nan	nan	nan	Kepler-1154	297.477127	39.877247	nan
Kepler-1155b	0.181	33.469743	nan	nan	nan	Kepler-1155	288.820587	39.522827	nan
Kepler-1156b	0.118	11.89520511	nan	nan	nan	Kepler-1156	288.924024	46.057632	nan
Kepler-1157b	0.097	4.45743164	nan	nan	nan	Kepler-1157	283.121049	43.525642	nan
Kepler-1158b	0.209	13.5396293	nan	nan	nan	Kepler-1158	292.233946	41.575213	nan
Kepler-1159b	0.211	22.70816791	nan	nan	nan	Kepler-1159	294.266335	45.204315	nan
Kepler-116b	0.305	5.968734	0.069	nan	0.56	Kepler-116	294.74207	43.536835	nan
Kepler-116c	0.205	13.07163	0.116	nan	0.19	Kepler-116	294.74207	43.536835	nan
Kepler-1160b	0.191	7.97034958	nan	nan	nan	Kepler-1160	287.879384	43.364075	nan
Kepler-1161b	0.19	10.71252541	nan	nan	nan	Kepler-1161	299.077103	45.44064	nan
Kepler-1162b	0.197	32.5637069	nan	nan	nan	Kepler-1162	283.29213	45.434116	nan
Kepler-1163b	0.092	6.11786898	nan	nan	nan	Kepler-1163	290.235843	50.030087	nan
Kepler-1164b	0.1	3.97599768	nan	nan	nan	Kepler-1164	287.529634	38.894513	nan
Kepler-1165b	0.138	9.478522	nan	nan	nan	Kepler-1165	286.971267	44.708302	nan
Kepler-1166b	0.151	33.2406882	nan	nan	nan	Kepler-1166	290.348519	50.902855	nan
Kepler-1167b	0.153	1.00393374	nan	nan	nan	Kepler-1167	298.302714	47.694023	nan
